researcher_name,employee_id,affiliation,rcard_url,rank,project_id,project_title,project_pi,project_inst,project_keywords,final_score,semantic_score,keyword_score
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,1,NRF-000423,"Towards AIoT – Building Intelligence into Sensing, Networking, and Data Analytics of IoT",Mo Li,Nanyang Technological University,"AIoT, Internet of Things, Sensing, Data analytics",0.4837,0.6883,0.0061
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,2,MOE-000044,"Massive, Ultra-Reliable, and Low-Latency Wireless Communications",Tony Quek,Singapore University of Technology and Design,Multiple access; massive IoT; ultra-reliable communications; low-latency communications; tactile internet,0.4399,0.6284,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,3,MOE-000352,"IntelliStream: Towards Highly-Optimized, Ultra-Scalable, and Self-Adaptive Data Stream Analytics in the Heterogeneous IoT Environment",Shuhao Zhang,Nanyang Technological University,"Stream Processing; Heterogeneous Architectures; IoT Systems; Query Optimization, Edge Computing; Modular Design",0.4171,0.5959,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,4,NRF-000140,PACE: Next-Generation IoT Edge Computing through Efficient Software Programmable Accelerators,MITRA TULIKA,National University of Singapore,IoT; Edge Computing; Low Power; Reconfigurable Computing; Accelerator,0.4094,0.5822,0.0061
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,5,MOE-000277,Holistic Allocation of Edge and Wireless Resources for Time-Sensitive IoT Applications,Arvind Easwaran,Nanyang Technological University,Real-time resource provisioning & scheduling; decentralized resource allocation; approximation guarantees for wireless-edge-cloud resource provisioning; building cooling system case study,0.4074,0.5820,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,6,NRF-000593,Foundational Building Blocks for Next-Generation Magnetic Memories,Anjan Soumyanarayanan,National University of Singapore,"spintronics, magnetism, magnetic tunnel junction, quantum materials, memory",0.4070,0.5814,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,7,MOE-000255,Versatile Edge-based Facility Management through AI driven Dynamic 5G Network Slicing,David Hee,Singapore Polytechnic,5G; Internet of Things;  Artificial Intelligence; Co-simulation; Network slicing,0.3780,0.5400,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,8,NRF-000098,SLADE : Smart Learning Analytics for Digital crimE,Loh Kok Keong Peter,Singapore Institute of Technology,"digital crime, machine learning, analytics, investigation",0.3768,0.5384,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,9,MOE-000625,AI-Generated Content: Economic Impacts and Implications for Policy and Regulation,Goh Khim Yong,National University of Singapore,"Generative AI, Digital Media Content, Digital Labor Platform, Structural Demand and Supply Model, Econometric and Causal Impact Evaluation",0.3679,0.5256,0.0000
성낙명 (NakMyoung Sung),10613,자율형IoT연구센터,https://rcard.re.kr/detail/dVqRU4SC-9BOoKUhEZHj2w,10,NRF-RSS2015-003,Embedded Intelligence in new form factors (EINFF) with ultra-energy efficient CMOS technologies to enable the Smart nation infrastructure,Thean Voon Yew,National University of Singapore,Data Access Contact:,0.3676,0.5252,0.0000
